                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.78405,                0.61836,                0.99747,                      1,                0.97504,                0.98672,                0.80554,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.78883,                0.57479,                 0.9944,                0.97394,                0.97531,                0.98525,                0.82305,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.78658,                0.59464,                0.99668,                0.98704,                0.96296,                0.98474,                0.79079,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.78662,                0.57722,                  1.011,                0.98647,                0.97531,                0.98502,                0.81544,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.76265,                0.57759,                0.98556,                0.93961,                0.97531,                0.97663,                0.77621,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.79547,                0.58197,                0.99534,                 0.9863,                0.98765,                0.98394,                0.80213,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.75013,                0.56991,                0.98618,                0.98681,                0.98765,                 0.9833,                0.81578,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.72912,                0.54874,                0.96629,                0.98498,                0.98765,                0.98393,                 0.7963,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.75404,                0.55588,                0.96667,                0.97154,                0.97531,                0.98308,                0.80426,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.72529,                0.52875,                0.95803,                0.97382,                0.98765,                0.98379,                0.82612,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.75735,                0.56612,                0.98344,                 0.9876,                 0.9836,                0.98426,                0.81679,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.73378,                0.55949,                0.97498,                0.98702,                0.98765,                0.98744,                0.84382,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.75664,                0.54218,                0.98614,                0.98338,                0.98765,                0.98534,                0.84688,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.73263,                0.54789,                0.98416,                 0.9944,                0.98765,                 0.9857,                0.83777,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.75274,                0.53895,                0.97656,                0.99822,                0.97531,                0.97621,                0.83375,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.73824,                0.53129,                0.96138,                0.99709,                0.98765,                0.98577,                0.83319,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.72278,                0.52097,                 0.9649,                0.97559,                0.98673,                0.98421,                 0.8063,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.66247,                 0.5036,                0.93496,                0.98764,                0.98671,                0.98289,                0.83574,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.69467,                0.49049,                0.97266,                0.98747,                0.97303,                0.98176,                0.83712,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.68601,                0.50773,                0.97538,                0.98389,                0.97531,                0.98396,                0.84415,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.68081,                0.51365,                0.94306,                0.96284,                0.98765,                0.98525,                0.82367,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.70162,                0.50378,                0.96405,                 0.9966,                0.96296,                0.98494,                0.82928,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.67357,                0.47778,                0.96941,                0.99825,                0.96296,                0.98371,                0.83813,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 0.6993,                0.49306,                0.96838,                0.99712,                0.96296,                0.98169,                0.84845,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.68668,                0.49034,                0.98392,                      1,                0.97338,                0.98536,                0.84653,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.65495,                0.46565,                0.93291,                0.98401,                0.97531,                0.98515,                0.84453,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.69308,                 0.4862,                0.96838,                0.97539,                0.98765,                0.98565,                0.83256,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.65807,                0.46309,                0.94209,                0.98532,                0.98765,                0.98585,                0.83725,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
